Country,PIN,City,State,State_ID,District,District_ID,Community,Lat,Lng,Loc_accuracy,District_1
IN,621715,Manjamedu Karaipakkam,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.9686,79.1677,3,Ariyalur
IN,621718,Anandavadi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1862,79.1771,4,Ariyalur
IN,621718,Sennivanam,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.209,79.1618,4,Ariyalur
IN,621718,Pottaveli,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2329,79.149,4,Ariyalur
IN,621718,Rayambaram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2183,79.1585,4,Ariyalur
IN,621718,Poyyadhanallur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2218,79.1517,3,Ariyalur
IN,621718,Vellur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2448,79.1379,4,Ariyalur
IN,621718,Iluppaiyur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2396,79.1257,4,Ariyalur
IN,621719,Kodukkur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,4,Ariyalur
IN,621719,Thular,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,3,Ariyalur
IN,621719,Edayakurichi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,3,Ariyalur
IN,621719,Manakudayan,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,3,Ariyalur
IN,621719,Periyakurichi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,3,Ariyalur
IN,621719,Asaveerankudikadu,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,3,Ariyalur
IN,621719,Adhanakurichi,Tamil Nadu,25,Ariyalur,616,Sendurai,11.3106,79.2566,3,Ariyalur
IN,621719,Alathiyur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3106,79.2566,3,Ariyalur
IN,621729,Ariyalur Cement Factory,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.9095,78.9893,1,Ariyalur
IN,621730,Siluppanur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.0087,79.1969,4,Ariyalur
IN,621730,Cement Nagar Dalavoy,Tamil Nadu,25,Ariyalur,616,NA,11.0087,79.1969,3,Ariyalur
IN,621730,Dalavoy,Tamil Nadu,25,Ariyalur,616,NA,11.0087,79.1969,3,Ariyalur
IN,621730,Sannasinallur,Tamil Nadu,25,Ariyalur,616,Sendurai,11.0087,79.1969,3,Ariyalur
IN,621801,Andimadam,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.3355,79.3771,4,Ariyalur
IN,621801,Pattanamkurichi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.3355,79.3771,3,Ariyalur
IN,621802,Angarayanallur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1698,79.3563,4,Ariyalur
IN,621802,Karadikulam,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1605,79.2442,3,Ariyalur
IN,621802,Jayamkondacholapuram,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.2127,79.3637,4,Ariyalur
IN,621802,JC Puram West,Tamil Nadu,25,Ariyalur,616,NA,11.1912,79.36,3,Ariyalur
IN,621802,Kaluvanthondi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1912,79.36,3,Ariyalur
IN,621802,Chinnavalayam,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1912,79.36,3,Ariyalur
IN,621802,Kilakudiyiruppu,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.1912,79.36,3,Ariyalur
IN,621802,Periyavalayam,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.1912,79.36,3,Ariyalur
IN,621802,Sengunthapuram,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1912,79.36,3,Ariyalur
IN,621803,Kallathur Thandalai,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Vettiarvettu,Tamil Nadu,25,Ariyalur,616,Jayamkondocholapuram,11.0289,79.2366,1,Ariyalur
IN,621803,Kalleri,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Kulathur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1605,79.2442,1,Ariyalur
IN,621803,Anikduichan,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Koovathur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Z.Melur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Kumiliankuli,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Kattathur,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621803,Eravangudi,Tamil Nadu,25,Ariyalur,616,Jayamkondcholapuram,11.0289,79.2366,1,Ariyalur
IN,621803,Vadugarpalayam,Tamil Nadu,25,Ariyalur,616,Jayamkondocholapuram,11.0289,79.2366,1,Ariyalur
IN,621803,Vizhapallam,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.0289,79.2366,1,Ariyalur
IN,621804,Paranam,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.1895,79.2565,4,Ariyalur
IN,621804,Parukkal,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.116,79.2851,4,Ariyalur
IN,621804,Tattanur,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,11.334,79.1877,4,Ariyalur
IN,621804,Vanathirayanpattinam,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9123,79.1398,3,Ariyalur
IN,621804,Kilaveli,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1605,79.2442,4,Ariyalur
IN,621804,Udayarpalayam (Ariyalur),Tamil Nadu,25,Ariyalur,616,Jayamkondcholapuram,10.9123,79.1398,3,Ariyalur
IN,621804,Palayakudi,Tamil Nadu,25,Ariyalur,616,Udayarpalayam,11.1605,79.2442,4,Ariyalur
IN,621804,Nayanganaipiriyal,Tamil Nadu,25,Ariyalur,616,Jayamkondacholapuram,10.9123,79.1398,3,Ariyalur
